ReportingDate,SaleMonth,Store,Artist,Title,ISRC,UPC,Quantity,TeamPercentage,SongAlbum,CountryofSale,SongwriterRoyaltiesWithheld,EarningsUSD
2023-02-08,202211,Deezer,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,BE,0,0.00433209
2023-02-02,202211,Apple Music,Satanic Goose,"Dreams are alien to Sonya, because she does not believe in coming of future.",QZES52230767,196778185312,3,100,Song,JP,0,0.01422953
2021-12-23,202110,Apple Music,Satanic Goose,I am the First and the Last and the Alive,QZNWU2159789,196510721549,1,100,Song,US,0,0.00427308
2021-12-17,202110,YouTube (Ads),Satanic Goose,33 August Of Non-Existent Summer,QZNWV2132639,196510358769,1,100,Song,DE,0,0.002153
2021-12-17,202110,YouTube (Ads),Satanic Goose,Winter Melancholy,QZNWV2183782,196510009968,5,100,Song,RU,0,0.004527
2021-12-23,202110,Amazon Unlimited (Streaming),Satanic Goose,Winter Melancholy,QZNWV2183782,196510009968,1,100,Song,DE,0,0.00476281
2021-12-17,202110,YouTube (Ads),Satanic Goose,Train To Stars,QZNWV2195939,196510008657,1,100,Song,US,0,0.007485
2022-01-04,202110,Spotify,Satanic Goose,And I Saw A Kind Of Glass Sea Mixed With Fire,QZNWV2132640,196510358769,1,100,Song,US,0,0.003751
2022-01-05,202110,Spotify,Satanic Goose,And I Saw A Kind Of Glass Sea Mixed With Fire,QZNWV2132640,196510358769,1,100,Song,RU,0,0.00037124
2022-01-04,202110,Spotify,Satanic Goose,Divine Skulls Of Goats,QZNWV2132644,196510358769,1,100,Song,US,0,0.003751
2022-01-04,202110,Spotify,Satanic Goose,"Stone Forest, Sonya Repeats The Question",QZNWV2132647,196510358769,1,100,Song,US,0,0.003751
2022-01-04,202110,Spotify,Satanic Goose,33 August Of Non-Existent Summer,QZNWV2132639,196510358769,1,100,Song,US,0,0.003751
2022-01-05,202110,Spotify,Satanic Goose,33 August Of Non-Existent Summer,QZNWV2132639,196510358769,1,100,Song,RU,0,0.00037124
2022-01-04,202110,Spotify,Satanic Goose,Into The Abyss Of Dark Spaces,QZNWV2132646,196510358769,1,100,Song,US,0,0.003751
2022-01-04,202110,Spotify,Satanic Goose,Tell Me Where Are The Black Lakes Here,QZNWV2132648,196510358769,1,100,Song,US,0,0.003751
2022-01-04,202110,Spotify,Satanic Goose,Crippled Autumn,QZNWV2132643,196510358769,1,100,Song,US,0,0.003751
2022-01-05,202110,Spotify,Satanic Goose,Crippled Autumn,QZNWV2132643,196510358769,3,100,Song,RU,0,0.00133151
2022-01-04,202110,Spotify,Satanic Goose,Ice Crowns Crumbling Into Snow Dust,QZNWV2132645,196510358769,1,100,Song,US,0,0.003751
2022-01-04,202110,Spotify,Satanic Goose,The Cold Sky Lights Up Pale Pink,QZNWV2132649,196510358769,1,100,Song,US,0,0.003751
2022-01-04,202110,Spotify,Satanic Goose,"And If Anyone Wants To Offend Them, Then The Fire Will Come Out Of The Mouth",QZNWV2132642,196510358769,1,100,Song,US,0,0.003751
2022-01-05,202110,Spotify,Satanic Goose,"And If Anyone Wants To Offend Them, Then The Fire Will Come Out Of The Mouth",QZNWV2132642,196510358769,1,100,Song,RU,0,0.00037124
2022-01-05,202110,Spotify,Satanic Goose,Falling apart,QZNWT2188008,196511052383,1,100,Song,TH,0,0.00018506
2022-01-04,202110,Spotify,Satanic Goose,Wounded Animal In The Rain,QZNWV2132650,196510358769,1,100,Song,US,0,0.003751
2022-01-22,202111,Spotify,Satanic Goose,Two Parts of Chaos,QZNWV2195870,196510009166,1,100,Song,US,0,0.005508
2022-01-22,202111,Spotify,Satanic Goose,Sad Ghost In Old Fortress,QZNWV2193341,196510010728,1,100,Song,US,0,0.005508
2022-01-22,202111,Spotify,Satanic Goose,Our Maker Is Crying,QZNWV2195864,196510009166,1,100,Song,US,0,0.005508
2022-01-22,202111,Spotify,Satanic Goose,And I Saw A Kind Of Glass Sea Mixed With Fire,QZNWV2132640,196510358769,9,100,Song,RU,0,0.0070511
